Year_Année,Region_Région,Question,Response_Réponse,Group_Groupe,Subgroup_Sous_groupe,Percent_Pourcent,F95lcl,F95ucl,Data_quality_Qualité_des_données,Notes_Remarques,Language_Langue,ObjectId
2022,Ottawa-Gatineau- Ontario part- Ontario/Quebec,In the past 12 months- how difficult or easy was it for your household to meet its financial needs in terms of transportation- housing- food- clothing and other necessary expenditures?,(1) Very easy or easy,All persons,Overall,39,34.7,43.6,,,English,11
2021,Ottawa-Gatineau- partie ontarienne- Ontario/Québec,Au cours des 12 derniers mois- dans quelle mesure a-t-il été facile ou difficile de subvenir aux besoins financiers de votre ménage en matière de transport- de logement- d’alimentation- d’habillement et d’autres dépenses nécessaires?,(2) Ni difficile ni facile,Baccalauréat,Niveau de scolarité le plus élevé atteint,36.7,26.5,48.3,E,"Utiliser les estimations avec précaution; réfère à l'intervalle de confiance afin d'évaluer la qualité",Français,12
2024,Ottawa-Gatineau- Ontario part- Ontario/Quebec,In the past 12 months- how difficult or easy was it for your household to meet its financial needs in terms of transportation- housing- food- clothing and other necessary expenditures?,(2) Neither difficult nor easy,Bachelor's degree,Education level,31,22.5,41,,,English,13
2021,Ottawa-Gatineau- partie ontarienne- Ontario/Québec,Au cours des 12 derniers mois- dans quelle mesure a-t-il été facile ou difficile de subvenir aux besoins financiers de votre ménage en matière de transport- de logement- d’alimentation- d’habillement et d’autres dépenses nécessaires?,(2) Ni difficile ni facile,Certificat ou diplôme d'études postsecondaires inférieur au baccalauréat,Niveau de scolarité le plus élevé atteint,28,20.1,37.4,,,Français,14
2023,Ottawa-Gatineau- partie ontarienne- Ontario/Québec,Au cours des 12 derniers mois- dans quelle mesure a-t-il été facile ou difficile de subvenir aux besoins financiers de votre ménage en matière de transport- de logement- d’alimentation- d’habillement et d’autres dépenses nécessaires?,(3) Très difficile ou difficile,Certificat- diplôme ou grade universitaire supérieur au baccalauréat,Niveau de scolarité le plus élevé atteint,21,14.4,29.6,,,Français,15
2022,Ottawa-Gatineau- partie ontarienne- Ontario/Québec,Au cours des 12 derniers mois- dans quelle mesure a-t-il été facile ou difficile de subvenir aux besoins financiers de votre ménage en matière de transport- de logement- d’alimentation- d’habillement et d’autres dépenses nécessaires?,(2) Ni difficile ni facile,Diplôme d'études secondaires ou de niveau inférieur,Niveau de scolarité le plus élevé atteint,30.8,22.5,40.6,,,Français,16
2022,Ottawa-Gatineau- partie ontarienne- Ontario/Québec,Au cours des 12 derniers mois- dans quelle mesure a-t-il été facile ou difficile de subvenir aux besoins financiers de votre ménage en matière de transport- de logement- d’alimentation- d’habillement et d’autres dépenses nécessaires?,(1) Très facile ou facile,Femmes+,Genre,37.4,31.3,44,,,Français,17
2024,Ottawa-Gatineau- Ontario part- Ontario/Quebec,In the past 12 months- how difficult or easy was it for your household to meet its financial needs in terms of transportation- housing- food- clothing and other necessary expenditures?,(3) Very difficult or difficult,High school diploma or below,Education level,29.7,22.2,38.4,,,English,18
2024,Ottawa-Gatineau- partie ontarienne- Ontario/Québec,Au cours des 12 derniers mois- dans quelle mesure a-t-il été facile ou difficile de subvenir aux besoins financiers de votre ménage en matière de transport- de logement- d’alimentation- d’habillement et d’autres dépenses nécessaires?,(2) Ni difficile ni facile,Hommes+,Genre,31.7,24.7,39.7,,,Français,19
2023,Ottawa-Gatineau- Ontario part- Ontario/Quebec,In the past 12 months- how difficult or easy was it for your household to meet its financial needs in terms of transportation- housing- food- clothing and other necessary expenditures?,(3) Very difficult or difficult,Men+,Gender,25.9,20.7,31.8,,,English,20
2021,Ottawa-Gatineau- partie ontarienne- Ontario/Québec,Au cours des 12 derniers mois- dans quelle mesure a-t-il été facile ou difficile de subvenir aux besoins financiers de votre ménage en matière de transport- de logement- d’alimentation- d’habillement et d’autres dépenses nécessaires?,(2) Ni difficile ni facile,Racisé,Identité raciale,49.9,38.8,61.1,E,"Utiliser les estimations avec précaution; réfère à l'intervalle de confiance afin d'évaluer la qualité",Français,21
2021,Ottawa-Gatineau- Ontario part- Ontario/Quebec,In the past 12 months- how difficult or easy was it for your household to meet its financial needs in terms of transportation- housing- food- clothing and other necessary expenditures?,(2) Neither difficult nor easy,Not racialized,Race,23.9,19.2,29.4,,,English,22
2022,Ottawa-Gatineau- partie ontarienne- Ontario/Québec,Au cours des 12 derniers mois- dans quelle mesure a-t-il été facile ou difficile de subvenir aux besoins financiers de votre ménage en matière de transport- de logement- d’alimentation- d’habillement et d’autres dépenses nécessaires?,(2) Ni difficile ni facile,Non racisé,Identité raciale,35.4,29.9,41.3,,,Français,23
2023,Ottawa-Gatineau- partie ontarienne- Ontario/Québec,Au cours des 12 derniers mois- dans quelle mesure a-t-il été facile ou difficile de subvenir aux besoins financiers de votre ménage en matière de transport- de logement- d’alimentation- d’habillement et d’autres dépenses nécessaires?,(2) Ni difficile ni facile,Personnes ayant une incapacité- une difficulté ou un problème de santé de longue durée,Status d'incapacité,39.7,33.2,46.6,,,Français,24
2021,Ottawa-Gatineau- partie ontarienne- Ontario/Québec,Au cours des 12 derniers mois- dans quelle mesure a-t-il été facile ou difficile de subvenir aux besoins financiers de votre ménage en matière de transport- de logement- d’alimentation- d’habillement et d’autres dépenses nécessaires?,(3) Très difficile ou difficile,Personnes n’ayant pas d’incapacité- de difficulté ou de problème de santé de longue durée,Status d'incapacité,12.7,8.5,18.5,,,Français,25
2021,Ottawa-Gatineau- Ontario part- Ontario/Quebec,In the past 12 months- how difficult or easy was it for your household to meet its financial needs in terms of transportation- housing- food- clothing and other necessary expenditures?,(2) Neither difficult nor easy,Persons with a disability- difficulty or long-term condition,Disability status,32.1,24.9,40.3,,,English,26
2021,Ottawa-Gatineau- Ontario part- Ontario/Quebec,In the past 12 months- how difficult or easy was it for your household to meet its financial needs in terms of transportation- housing- food- clothing and other necessary expenditures?,(2) Neither difficult nor easy,Persons without a disability- difficulty or long-term condition,Disability status,30.7,23.9,38.5,,,English,27
2021,Ottawa-Gatineau- Ontario part- Ontario/Quebec,In the past 12 months- how difficult or easy was it for your household to meet its financial needs in terms of transportation- housing- food- clothing and other necessary expenditures?,(2) Neither difficult nor easy,Post-secondary certificate or diploma below the bachelor's level,Education level,28,20.1,37.4,,,English,28
2022,Ottawa-Gatineau- Ontario part- Ontario/Quebec,In the past 12 months- how difficult or easy was it for your household to meet its financial needs in terms of transportation- housing- food- clothing and other necessary expenditures?,(1) Very easy or easy,Racialized,Race,25.9,18.5,35,,,English,29
2021,Ottawa-Gatineau- partie ontarienne- Ontario/Québec,Au cours des 12 derniers mois- dans quelle mesure a-t-il été facile ou difficile de subvenir aux besoins financiers de votre ménage en matière de transport- de logement- d’alimentation- d’habillement et d’autres dépenses nécessaires?,(2) Ni difficile ni facile,Toutes les personnes,Total- toutes les personnes,31.4,26.3,36.9,,,Français,30
2024,Ottawa-Gatineau- Ontario part- Ontario/Quebec,In the past 12 months- how difficult or easy was it for your household to meet its financial needs in terms of transportation- housing- food- clothing and other necessary expenditures?,(3) Very difficult or difficult,University above bachelor's level,Education level,22.2,14.1,33.3,,,English,31
2023,Ottawa-Gatineau- Ontario part- Ontario/Quebec,In the past 12 months- how difficult or easy was it for your household to meet its financial needs in terms of transportation- housing- food- clothing and other necessary expenditures?,(2) Neither difficult nor easy,Women+,Gender,35.3,29.5,41.4,,,English,32
2022,Ottawa-Gatineau- Ontario part- Ontario/Quebec,In the past 12 months- how difficult or easy was it for your household to meet its financial needs in terms of transportation- housing- food- clothing and other necessary expenditures?,(1) Very easy or easy,15 to 34 years old,Age,38.8,29.1,49.4,E,Please use estimate with caution and refer to the confidence interval to assess its quality.,English,33
2021,Ottawa-Gatineau- Ontario part- Ontario/Quebec,In the past 12 months- how difficult or easy was it for your household to meet its financial needs in terms of transportation- housing- food- clothing and other necessary expenditures?,(1) Very easy or easy,15 to 34 years old,Age,43,33.2,53.4,E,Please use estimate with caution and refer to the confidence interval to assess its quality.,English,34
2024,Ottawa-Gatineau- Ontario part- Ontario/Quebec,In the past 12 months- how difficult or easy was it for your household to meet its financial needs in terms of transportation- housing- food- clothing and other necessary expenditures?,(3) Very difficult or difficult,15 to 34 years old,Age,34.6,25.5,44.9,E,Please use estimate with caution and refer to the confidence interval to assess its quality.,English,35
2024,Ottawa-Gatineau- Ontario part- Ontario/Quebec,In the past 12 months- how difficult or easy was it for your household to meet its financial needs in terms of transportation- housing- food- clothing and other necessary expenditures?,(1) Very easy or easy,15 to 34 years old,Age,30.7,22.4,40.5,E,Please use estimate with caution and refer to the confidence interval to assess its quality.,English,36
2021,Ottawa-Gatineau- Ontario part- Ontario/Quebec,In the past 12 months- how difficult or easy was it for your household to meet its financial needs in terms of transportation- housing- food- clothing and other necessary expenditures?,(2) Neither difficult nor easy,15 to 34 years old,Age,39.6,29.5,50.5,E,Please use estimate with caution and refer to the confidence interval to assess its quality.,English,37
2021,Ottawa-Gatineau- Ontario part- Ontario/Quebec,In the past 12 months- how difficult or easy was it for your household to meet its financial needs in terms of transportation- housing- food- clothing and other necessary expenditures?,(3) Very difficult or difficult,15 to 34 years old,Age,17.4,10.2,28,E,Please use estimate with caution and refer to the confidence interval to assess its quality.,English,38
2022,Ottawa-Gatineau- Ontario part- Ontario/Quebec,In the past 12 months- how difficult or easy was it for your household to meet its financial needs in terms of transportation- housing- food- clothing and other necessary expenditures?,(3) Very difficult or difficult,15 to 34 years old,Age,26.2,16.7,38.6,E,Please use estimate with caution and refer to the confidence interval to assess its quality.,English,39
2023,Ottawa-Gatineau- Ontario part- Ontario/Quebec,In the past 12 months- how difficult or easy was it for your household to meet its financial needs in terms of transportation- housing- food- clothing and other necessary expenditures?,(1) Very easy or easy,15 to 34 years old,Age,33.4,24.7,43.4,,,English,40
2024,Ottawa-Gatineau- Ontario part- Ontario/Quebec,In the past 12 months- how difficult or easy was it for your household to meet its financial needs in terms of transportation- housing- food- clothing and other necessary expenditures?,(2) Neither difficult nor easy,15 to 34 years old,Age,34.7,25.3,45.4,E,Please use estimate with caution and refer to the confidence interval to assess its quality.,English,41
2023,Ottawa-Gatineau- Ontario part- Ontario/Quebec,In the past 12 months- how difficult or easy was it for your household to meet its financial needs in terms of transportation- housing- food- clothing and other necessary expenditures?,(3) Very difficult or difficult,15 to 34 years old,Age,28.9,21.2,38.1,,,English,42
2022,Ottawa-Gatineau- Ontario part- Ontario/Quebec,In the past 12 months- how difficult or easy was it for your household to meet its financial needs in terms of transportation- housing- food- clothing and other necessary expenditures?,(2) Neither difficult nor easy,15 to 34 years old,Age,35,25.1,46.5,E,Please use estimate with caution and refer to the confidence interval to assess its quality.,English,43
2021,Ottawa-Gatineau- partie ontarienne- Ontario/Québec,Au cours des 12 derniers mois- dans quelle mesure a-t-il été facile ou difficile de subvenir aux besoins financiers de votre ménage en matière de transport- de logement- d’alimentation- d’habillement et d’autres dépenses nécessaires?,(2) Ni difficile ni facile,15 à 34 ans,Âge,39.6,29.5,50.5,E,"Utiliser les estimations avec précaution; réfère à l'intervalle de confiance afin d'évaluer la qualité",Français,44
2024,Ottawa-Gatineau- partie ontarienne- Ontario/Québec,Au cours des 12 derniers mois- dans quelle mesure a-t-il été facile ou difficile de subvenir aux besoins financiers de votre ménage en matière de transport- de logement- d’alimentation- d’habillement et d’autres dépenses nécessaires?,(1) Très facile ou facile,15 à 34 ans,Âge,30.7,22.4,40.5,E,"Utiliser les estimations avec précaution; réfère à l'intervalle de confiance afin d'évaluer la qualité",Français,45
2022,Ottawa-Gatineau- partie ontarienne- Ontario/Québec,Au cours des 12 derniers mois- dans quelle mesure a-t-il été facile ou difficile de subvenir aux besoins financiers de votre ménage en matière de transport- de logement- d’alimentation- d’habillement et d’autres dépenses nécessaires?,(1) Très facile ou facile,15 à 34 ans,Âge,38.8,29.1,49.4,E,"Utiliser les estimations avec précaution; réfère à l'intervalle de confiance afin d'évaluer la qualité",Français,46
2022,Ottawa-Gatineau- partie ontarienne- Ontario/Québec,Au cours des 12 derniers mois- dans quelle mesure a-t-il été facile ou difficile de subvenir aux besoins financiers de votre ménage en matière de transport- de logement- d’alimentation- d’habillement et d’autres dépenses nécessaires?,(2) Ni difficile ni facile,15 à 34 ans,Âge,35,25.1,46.5,E,"Utiliser les estimations avec précaution; réfère à l'intervalle de confiance afin d'évaluer la qualité",Français,47
2021,Ottawa-Gatineau- partie ontarienne- Ontario/Québec,Au cours des 12 derniers mois- dans quelle mesure a-t-il été facile ou difficile de subvenir aux besoins financiers de votre ménage en matière de transport- de logement- d’alimentation- d’habillement et d’autres dépenses nécessaires?,(1) Très facile ou facile,15 à 34 ans,Âge,43,33.2,53.4,E,"Utiliser les estimations avec précaution; réfère à l'intervalle de confiance afin d'évaluer la qualité",Français,48
2024,Ottawa-Gatineau- partie ontarienne- Ontario/Québec,Au cours des 12 derniers mois- dans quelle mesure a-t-il été facile ou difficile de subvenir aux besoins financiers de votre ménage en matière de transport- de logement- d’alimentation- d’habillement et d’autres dépenses nécessaires?,(3) Très difficile ou difficile,15 à 34 ans,Âge,34.6,25.5,44.9,E,"Utiliser les estimations avec précaution; réfère à l'intervalle de confiance afin d'évaluer la qualité",Français,49
2021,Ottawa-Gatineau- partie ontarienne- Ontario/Québec,Au cours des 12 derniers mois- dans quelle mesure a-t-il été facile ou difficile de subvenir aux besoins financiers de votre ménage en matière de transport- de logement- d’alimentation- d’habillement et d’autres dépenses nécessaires?,(3) Très difficile ou difficile,15 à 34 ans,Âge,17.4,10.2,28,E,"Utiliser les estimations avec précaution; réfère à l'intervalle de confiance afin d'évaluer la qualité",Français,50
2023,Ottawa-Gatineau- partie ontarienne- Ontario/Québec,Au cours des 12 derniers mois- dans quelle mesure a-t-il été facile ou difficile de subvenir aux besoins financiers de votre ménage en matière de transport- de logement- d’alimentation- d’habillement et d’autres dépenses nécessaires?,(1) Très facile ou facile,15 à 34 ans,Âge,33.4,24.7,43.4,,,Français,51
2022,Ottawa-Gatineau- partie ontarienne- Ontario/Québec,Au cours des 12 derniers mois- dans quelle mesure a-t-il été facile ou difficile de subvenir aux besoins financiers de votre ménage en matière de transport- de logement- d’alimentation- d’habillement et d’autres dépenses nécessaires?,(3) Très difficile ou difficile,15 à 34 ans,Âge,26.2,16.7,38.6,E,"Utiliser les estimations avec précaution; réfère à l'intervalle de confiance afin d'évaluer la qualité",Français,52
2023,Ottawa-Gatineau- partie ontarienne- Ontario/Québec,Au cours des 12 derniers mois- dans quelle mesure a-t-il été facile ou difficile de subvenir aux besoins financiers de votre ménage en matière de transport- de logement- d’alimentation- d’habillement et d’autres dépenses nécessaires?,(3) Très difficile ou difficile,15 à 34 ans,Âge,28.9,21.2,38.1,,,Français,53
2023,Ottawa-Gatineau- partie ontarienne- Ontario/Québec,Au cours des 12 derniers mois- dans quelle mesure a-t-il été facile ou difficile de subvenir aux besoins financiers de votre ménage en matière de transport- de logement- d’alimentation- d’habillement et d’autres dépenses nécessaires?,(2) Ni difficile ni facile,15 à 34 ans,Âge,37.7,28.6,47.7,,,Français,54
2022,Ottawa-Gatineau- Ontario part- Ontario/Quebec,In the past 12 months- how difficult or easy was it for your household to meet its financial needs in terms of transportation- housing- food- clothing and other necessary expenditures?,(3) Very difficult or difficult,35 to 44 years old,Age,32.9,22.9,44.7,E,Please use estimate with caution and refer to the confidence interval to assess its quality.,English,55
2023,Ottawa-Gatineau- Ontario part- Ontario/Quebec,In the past 12 months- how difficult or easy was it for your household to meet its financial needs in terms of transportation- housing- food- clothing and other necessary expenditures?,(1) Very easy or easy,35 to 44 years old,Age,22,14.6,31.7,E,Please use estimate with caution and refer to the confidence interval to assess its quality.,English,56
2022,Ottawa-Gatineau- Ontario part- Ontario/Quebec,In the past 12 months- how difficult or easy was it for your household to meet its financial needs in terms of transportation- housing- food- clothing and other necessary expenditures?,(2) Neither difficult nor easy,35 to 44 years old,Age,33.4,24.3,43.9,E,Please use estimate with caution and refer to the confidence interval to assess its quality.,English,57
2021,Ottawa-Gatineau- Ontario part- Ontario/Quebec,In the past 12 months- how difficult or easy was it for your household to meet its financial needs in terms of transportation- housing- food- clothing and other necessary expenditures?,(3) Very difficult or difficult,35 to 44 years old,Age,19.2,11.7,30.1,E,Please use estimate with caution and refer to the confidence interval to assess its quality.,English,58
2023,Ottawa-Gatineau- Ontario part- Ontario/Quebec,In the past 12 months- how difficult or easy was it for your household to meet its financial needs in terms of transportation- housing- food- clothing and other necessary expenditures?,(3) Very difficult or difficult,35 to 44 years old,Age,43.1,32.5,54.5,E,Please use estimate with caution and refer to the confidence interval to assess its quality.,English,59
2023,Ottawa-Gatineau- Ontario part- Ontario/Quebec,In the past 12 months- how difficult or easy was it for your household to meet its financial needs in terms of transportation- housing- food- clothing and other necessary expenditures?,(2) Neither difficult nor easy,35 to 44 years old,Age,34.8,24.8,46.5,E,Please use estimate with caution and refer to the confidence interval to assess its quality.,English,60
2024,Ottawa-Gatineau- Ontario part- Ontario/Quebec,In the past 12 months- how difficult or easy was it for your household to meet its financial needs in terms of transportation- housing- food- clothing and other necessary expenditures?,(1) Very easy or easy,35 to 44 years old,Age,26.4,18,36.9,E,Please use estimate with caution and refer to the confidence interval to assess its quality.,English,61
2024,Ottawa-Gatineau- Ontario part- Ontario/Quebec,In the past 12 months- how difficult or easy was it for your household to meet its financial needs in terms of transportation- housing- food- clothing and other necessary expenditures?,(3) Very difficult or difficult,35 to 44 years old,Age,37.5,26.9,49.4,E,Please use estimate with caution and refer to the confidence interval to assess its quality.,English,62
2021,Ottawa-Gatineau- Ontario part- Ontario/Quebec,In the past 12 months- how difficult or easy was it for your household to meet its financial needs in terms of transportation- housing- food- clothing and other necessary expenditures?,(2) Neither difficult nor easy,35 to 44 years old,Age,30.3,19.4,44,E,Please use estimate with caution and refer to the confidence interval to assess its quality.,English,63
2024,Ottawa-Gatineau- Ontario part- Ontario/Quebec,In the past 12 months- how difficult or easy was it for your household to meet its financial needs in terms of transportation- housing- food- clothing and other necessary expenditures?,(2) Neither difficult nor easy,35 to 44 years old,Age,36.2,25.4,48.5,E,Please use estimate with caution and refer to the confidence interval to assess its quality.,English,64
2022,Ottawa-Gatineau- Ontario part- Ontario/Quebec,In the past 12 months- how difficult or easy was it for your household to meet its financial needs in terms of transportation- housing- food- clothing and other necessary expenditures?,(1) Very easy or easy,35 to 44 years old,Age,33.7,24.6,44.2,E,Please use estimate with caution and refer to the confidence interval to assess its quality.,English,65
2023,Ottawa-Gatineau- partie ontarienne- Ontario/Québec,Au cours des 12 derniers mois- dans quelle mesure a-t-il été facile ou difficile de subvenir aux besoins financiers de votre ménage en matière de transport- de logement- d’alimentation- d’habillement et d’autres dépenses nécessaires?,(3) Très difficile ou difficile,35 à 44 ans,Âge,43.1,32.5,54.5,E,"Utiliser les estimations avec précaution; réfère à l'intervalle de confiance afin d'évaluer la qualité",Français,66
2024,Ottawa-Gatineau- partie ontarienne- Ontario/Québec,Au cours des 12 derniers mois- dans quelle mesure a-t-il été facile ou difficile de subvenir aux besoins financiers de votre ménage en matière de transport- de logement- d’alimentation- d’habillement et d’autres dépenses nécessaires?,(1) Très facile ou facile,35 à 44 ans,Âge,26.4,18,36.9,E,"Utiliser les estimations avec précaution; réfère à l'intervalle de confiance afin d'évaluer la qualité",Français,67
2021,Ottawa-Gatineau- partie ontarienne- Ontario/Québec,Au cours des 12 derniers mois- dans quelle mesure a-t-il été facile ou difficile de subvenir aux besoins financiers de votre ménage en matière de transport- de logement- d’alimentation- d’habillement et d’autres dépenses nécessaires?,(3) Très difficile ou difficile,35 à 44 ans,Âge,19.2,11.7,30.1,E,"Utiliser les estimations avec précaution; réfère à l'intervalle de confiance afin d'évaluer la qualité",Français,68
2024,Ottawa-Gatineau- partie ontarienne- Ontario/Québec,Au cours des 12 derniers mois- dans quelle mesure a-t-il été facile ou difficile de subvenir aux besoins financiers de votre ménage en matière de transport- de logement- d’alimentation- d’habillement et d’autres dépenses nécessaires?,(3) Très difficile ou difficile,35 à 44 ans,Âge,37.5,26.9,49.4,E,"Utiliser les estimations avec précaution; réfère à l'intervalle de confiance afin d'évaluer la qualité",Français,69
2023,Ottawa-Gatineau- partie ontarienne- Ontario/Québec,Au cours des 12 derniers mois- dans quelle mesure a-t-il été facile ou difficile de subvenir aux besoins financiers de votre ménage en matière de transport- de logement- d’alimentation- d’habillement et d’autres dépenses nécessaires?,(1) Très facile ou facile,35 à 44 ans,Âge,22,14.6,31.7,E,"Utiliser les estimations avec précaution; réfère à l'intervalle de confiance afin d'évaluer la qualité",Français,70
2022,Ottawa-Gatineau- partie ontarienne- Ontario/Québec,Au cours des 12 derniers mois- dans quelle mesure a-t-il été facile ou difficile de subvenir aux besoins financiers de votre ménage en matière de transport- de logement- d’alimentation- d’habillement et d’autres dépenses nécessaires?,(3) Très difficile ou difficile,35 à 44 ans,Âge,32.9,22.9,44.7,E,"Utiliser les estimations avec précaution; réfère à l'intervalle de confiance afin d'évaluer la qualité",Français,71
2023,Ottawa-Gatineau- partie ontarienne- Ontario/Québec,Au cours des 12 derniers mois- dans quelle mesure a-t-il été facile ou difficile de subvenir aux besoins financiers de votre ménage en matière de transport- de logement- d’alimentation- d’habillement et d’autres dépenses nécessaires?,(2) Ni difficile ni facile,35 à 44 ans,Âge,34.8,24.8,46.5,E,"Utiliser les estimations avec précaution; réfère à l'intervalle de confiance afin d'évaluer la qualité",Français,72
2021,Ottawa-Gatineau- partie ontarienne- Ontario/Québec,Au cours des 12 derniers mois- dans quelle mesure a-t-il été facile ou difficile de subvenir aux besoins financiers de votre ménage en matière de transport- de logement- d’alimentation- d’habillement et d’autres dépenses nécessaires?,(2) Ni difficile ni facile,35 à 44 ans,Âge,30.3,19.4,44,E,"Utiliser les estimations avec précaution; réfère à l'intervalle de confiance afin d'évaluer la qualité",Français,73
2024,Ottawa-Gatineau- partie ontarienne- Ontario/Québec,Au cours des 12 derniers mois- dans quelle mesure a-t-il été facile ou difficile de subvenir aux besoins financiers de votre ménage en matière de transport- de logement- d’alimentation- d’habillement et d’autres dépenses nécessaires?,(2) Ni difficile ni facile,35 à 44 ans,Âge,36.2,25.4,48.5,E,"Utiliser les estimations avec précaution; réfère à l'intervalle de confiance afin d'évaluer la qualité",Français,74
2021,Ottawa-Gatineau- partie ontarienne- Ontario/Québec,Au cours des 12 derniers mois- dans quelle mesure a-t-il été facile ou difficile de subvenir aux besoins financiers de votre ménage en matière de transport- de logement- d’alimentation- d’habillement et d’autres dépenses nécessaires?,(1) Très facile ou facile,35 à 44 ans,Âge,50.4,38,62.9,E,"Utiliser les estimations avec précaution; réfère à l'intervalle de confiance afin d'évaluer la qualité",Français,75
2022,Ottawa-Gatineau- partie ontarienne- Ontario/Québec,Au cours des 12 derniers mois- dans quelle mesure a-t-il été facile ou difficile de subvenir aux besoins financiers de votre ménage en matière de transport- de logement- d’alimentation- d’habillement et d’autres dépenses nécessaires?,(2) Ni difficile ni facile,35 à 44 ans,Âge,33.4,24.3,43.9,E,"Utiliser les estimations avec précaution; réfère à l'intervalle de confiance afin d'évaluer la qualité",Français,76
2021,Ottawa-Gatineau- Ontario part- Ontario/Quebec,In the past 12 months- how difficult or easy was it for your household to meet its financial needs in terms of transportation- housing- food- clothing and other necessary expenditures?,(2) Neither difficult nor easy,45 to 54 years old,Age,31.7,21.9,43.5,E,Please use estimate with caution and refer to the confidence interval to assess its quality.,English,77
2022,Ottawa-Gatineau- Ontario part- Ontario/Quebec,In the past 12 months- how difficult or easy was it for your household to meet its financial needs in terms of transportation- housing- food- clothing and other necessary expenditures?,(2) Neither difficult nor easy,45 to 54 years old,Age,45.7,34,57.9,E,Please use estimate with caution and refer to the confidence interval to assess its quality.,English,78
2024,Ottawa-Gatineau- Ontario part- Ontario/Quebec,In the past 12 months- how difficult or easy was it for your household to meet its financial needs in terms of transportation- housing- food- clothing and other necessary expenditures?,(3) Very difficult or difficult,45 to 54 years old,Age,29.3,20,40.7,E,Please use estimate with caution and refer to the confidence interval to assess its quality.,English,79
